region	MM	PDR
chr1-860118-861316	0.0139539	0.175633
chr1-894472-895670	0.151655	0.459615
chr1-894967-896165	0.161662	0.579952
chr1-900877-902075	0.350545	0.485149
chr1-917299-918497	0.568821	0.80144
chr1-935354-936552	0.0161154	0.19708
chr1-947803-949001	0.355907	0.397394
chr1-954503-955701	0.0450407	0.316456
chr1-1009489-1010687	0.525312	0.619366
chr1-1051280-1052478	0.00968289	0.159445
chr1-1108283-1109481	0.551003	0.687924
chr1-1141753-1142951	0.1232	0.438111
chr1-1149314-1150512	0.561101	0.740924
chr1-1166629-1167827	0.00838531	0.0932515
chr1-1167183-1168381	0.219387	0.449275
chr1-1181904-1183102	0.15738	0.580688
chr1-1209015-1210213	0.0927785	0.295337
chr1-1214816-1216014	0.913918	0.434916
chr1-1242947-1244145	0.00550988	0.122807
chr1-1243200-1244398	0.00516244	0.12156
chr1-1259147-1260345	0.036423	0.21028
chr1-1259791-1260989	0.0226419	0.152027
chr1-1265694-1266892	0.489029	0.560778
chr1-1284294-1285492	0.00491506	0.110497
chr1-1293717-1294915	0.271327	0.516949
chr1-1310339-1311537	0.087932	0.285266
chr1-1334494-1335692	0.00937258	0.104265
chr1-1342495-1343693	0.0617309	0.256598
chr1-1360508-1361706	0.597787	0.629382
chr1-1370051-1371249	0.183353	0.394872
chr1-1384069-1385267	0.798539	0.588441
chr1-1406149-1407347	0.0281018	0.124122
chr1-1446555-1447753	0.0078814	0.0902896
chr1-1475539-1476737	0.359025	0.556306
chr1-1510051-1511249	0.0645497	0.236025
chr1-1535278-1536476	0.108351	0.487755
chr1-1549823-1551021	0.0328586	0.168354
chr1-1566474-1567672	0.0653951	0.371429
chr1-1588737-1589935	0.541271	0.452555
chr1-1623885-1625083	0.00384202	0.0683761
chr1-1655565-1656763	0.125859	0.252193
chr1-1677233-1678431	0.00462963	0.0833333
chr1-1709711-1710909	0.0430577	0.278034
chr1-1822297-1823495	0.012865	0.145786
chr1-1845266-1846464	0.628415	0.540046
chr1-1850514-1851712	0.109456	0.346856
chr1-1886956-1888154	0.780803	0.576446
chr1-1949780-1950978	0.127561	0.528926
chr1-1980909-1982107	0.0476056	0.321484
chr1-2126015-2127213	0.0482251	0.170163
chr1-2159134-2160332	0.00700175	0.190709
chr1-2322272-2323470	0.027596	0.177839
chr1-2343771-2344969	0.0136974	0.146933
chr1-2397898-2399096	0.320687	0.665254
chr1-2457841-2459039	0.11939	0.299712
chr1-2461486-2462684	0.0298586	0.234266
chr1-2486805-2488003	0.0396238	0.0926471
chr1-2517214-2518412	0.00936536	0.093415
chr1-2564231-2565429	0.624027	0.606607
chr1-2937046-2938244	0.696266	0.588028
chr1-2984775-2985973	0.0239218	0.204152
chr1-3369990-3371188	0.134374	0.53958
chr1-3527861-3529059	0.0811579	0.393885
chr1-3540566-3541764	0.0186427	0.183724
chr1-3566439-3567637	0.137502	0.464698
chr1-3568084-3569282	0.0258907	0.248619
chr1-3688352-3689550	0.0537764	0.225049
chr1-3712870-3714068	0.138063	0.26361
chr1-3772845-3774043	0.0663033	0.241983
chr1-3773565-3774763	0.0516739	0.19496
chr1-3816651-3817849	0.00639913	0.0671141
chr1-4714105-4715303	0.0570311	0.393241
chr1-6052333-6053531	0.00481241	0.0728155
chr1-6104981-6106179	0.806474	0.541573
chr1-6239985-6241183	0.0327657	0.275748
chr1-6259474-6260672	0.201507	0.233256
chr1-6265236-6266434	0.0275248	0.193789
chr1-6295802-6297000	0.296212	0.460227
chr1-6303252-6304450	0.234162	0.599634
chr1-6320837-6322035	0.0443588	0.34879
chr1-6445675-6446873	0.522049	0.31681
chr1-6479781-6480979	0.0317323	0.230667
chr1-6483848-6485046	0.0465516	0.301648
chr1-6526037-6527235	0.566245	0.511513
chr1-6556958-6558156	0.0618913	0.26643
chr1-6614241-6615439	0.183233	0.339879
chr1-6614397-6615595	0.24032	0.378422
chr1-6639108-6640306	0.194726	0.331194
chr1-6662731-6663929	0.0083477	0.0851064
chr1-6672745-6673943	0.00633887	0.0846354
chr1-6683926-6685124	0.470733	0.363426
chr1-6761786-6762984	0.223853	0.288889
chr1-6844384-6845582	0.00765773	0.0774648
chr1-7830329-7831527	0.141292	0.221223
chr1-7843763-7844961	0.151862	0.352843
chr1-7913293-7914491	0.8203	0.543762
chr1-8000728-8001926	0.506	0.471591
chr1-8020752-8021950	0.0116522	0.0635294
chr1-8086170-8087368	0.162805	0.366883
chr1-8376886-8378084	0.508454	0.492846
chr1-8877326-8878524	0.0108636	0.10303
chr1-8938551-8939749	0.0214299	0.144156
chr1-9004946-9006144	0.879912	0.282123
chr1-9086206-9087404	0.883006	0.356037
chr1-9129577-9130775	0.395452	0.328358
chr1-9189031-9190229	0.0312189	0.233173
chr1-9293834-9295032	0.0774854	0.197368
chr1-9351939-9353137	0.152337	0.429368
chr1-9598541-9599739	0.294507	0.343811
chr1-9647980-9649178	0.228234	0.427907
chr1-9710803-9712001	0.150345	0.287129
chr1-9884386-9885584	0.117975	0.31875
chr1-9970123-9971321	0.00565733	0.0781893
chr1-10002486-10003684	0.00641473	0.0510856
chr1-10003189-10004387	0.207805	0.290361
chr1-10056274-10057472	0.218589	0.412533
chr1-10092654-10093852	0.00574713	0.0559441
chr1-10269863-10271061	0.00480169	0.0782748
chr1-10458137-10459335	0.0609085	0.202765
chr1-10489159-10490357	0.236257	0.366359
chr1-10508776-10509974	0.891181	0.474576
chr1-10532385-10533583	0.203611	0.22096
chr1-10533944-10535142	0.440362	0.401089
chr1-10856507-10857705	0.18195	0.333333
chr1-11071699-11072897	0.124269	0.255474
