region,MM,PDR,color
chr1-860118-861316,0.0139539,0.175633,blue
chr1-894472-895670,0.151655,0.459615,blue
chr1-894967-896165,0.161662,0.579952,blue
chr1-900877-902075,0.350545,0.485149,red
chr1-917299-918497,0.568821,0.80144,red
chr1-935354-936552,0.0161154,0.19708,blue
chr1-947803-949001,0.355907,0.397394,red
chr1-954503-955701,0.0450407,0.316456,blue
chr1-1009489-1010687,0.525312,0.619366,red
chr1-1051280-1052478,0.00968289,0.159445,blue
chr1-1108283-1109481,0.551003,0.687924,red
chr1-1141753-1142951,0.1232,0.438111,blue
chr1-1149314-1150512,0.561101,0.740924,red
chr1-1166629-1167827,0.00838531,0.0932515,red
chr1-1167183-1168381,0.219387,0.449275,red
chr1-1181904-1183102,0.15738,0.580688,blue
chr1-1209015-1210213,0.0927785,0.295337,red
chr1-1214816-1216014,0.913918,0.434916,red
chr1-1242947-1244145,0.00550988,0.122807,blue
chr1-1243200-1244398,0.00516244,0.12156,blue
chr1-1259147-1260345,0.036423,0.21028,red
chr1-1259791-1260989,0.0226419,0.152027,red
chr1-1265694-1266892,0.489029,0.560778,red
chr1-1284294-1285492,0.00491506,0.110497,red
chr1-1293717-1294915,0.271327,0.516949,red
chr1-1310339-1311537,0.087932,0.285266,red
chr1-1334494-1335692,0.00937258,0.104265,red
chr1-1342495-1343693,0.0617309,0.256598,red
chr1-1360508-1361706,0.597787,0.629382,red
chr1-1370051-1371249,0.183353,0.394872,red
chr1-1384069-1385267,0.798539,0.588441,red
chr1-1406149-1407347,0.0281018,0.124122,red
chr1-1446555-1447753,0.0078814,0.0902896,red
chr1-1475539-1476737,0.359025,0.556306,red
chr1-1510051-1511249,0.0645497,0.236025,red
chr1-1535278-1536476,0.108351,0.487755,blue
chr1-1549823-1551021,0.0328586,0.168354,red
chr1-1566474-1567672,0.0653951,0.371429,blue
chr1-1588737-1589935,0.541271,0.452555,red
chr1-1623885-1625083,0.00384202,0.0683761,red
chr1-1655565-1656763,0.125859,0.252193,red
chr1-1677233-1678431,0.00462963,0.0833333,red
chr1-1709711-1710909,0.0430577,0.278034,blue
chr1-1822297-1823495,0.012865,0.145786,red
chr1-1845266-1846464,0.628415,0.540046,red
chr1-1850514-1851712,0.109456,0.346856,red
chr1-1886956-1888154,0.780803,0.576446,red
chr1-1949780-1950978,0.127561,0.528926,blue
chr1-1980909-1982107,0.0476056,0.321484,blue
chr1-2126015-2127213,0.0482251,0.170163,red
chr1-2159134-2160332,0.00700175,0.190709,blue
chr1-2322272-2323470,0.027596,0.177839,red
chr1-2343771-2344969,0.0136974,0.146933,red
chr1-2397898-2399096,0.320687,0.665254,blue
chr1-2457841-2459039,0.11939,0.299712,red
chr1-2461486-2462684,0.0298586,0.234266,blue
chr1-2486805-2488003,0.0396238,0.0926471,red
chr1-2517214-2518412,0.00936536,0.093415,red
chr1-2564231-2565429,0.624027,0.606607,red
chr1-2937046-2938244,0.696266,0.588028,red
chr1-2984775-2985973,0.0239218,0.204152,blue
chr1-3369990-3371188,0.134374,0.53958,blue
chr1-3527861-3529059,0.0811579,0.393885,blue
chr1-3540566-3541764,0.0186427,0.183724,blue
chr1-3566439-3567637,0.137502,0.464698,blue
chr1-3568084-3569282,0.0258907,0.248619,blue
chr1-3688352-3689550,0.0537764,0.225049,red
chr1-3712870-3714068,0.138063,0.26361,red
chr1-3772845-3774043,0.0663033,0.241983,red
chr1-3773565-3774763,0.0516739,0.19496,red
chr1-3816651-3817849,0.00639913,0.0671141,red
chr1-4714105-4715303,0.0570311,0.393241,blue
chr1-6052333-6053531,0.00481241,0.0728155,red
chr1-6104981-6106179,0.806474,0.541573,red
chr1-6239985-6241183,0.0327657,0.275748,blue
chr1-6259474-6260672,0.201507,0.233256,red
chr1-6265236-6266434,0.0275248,0.193789,red
chr1-6295802-6297000,0.296212,0.460227,red
